candidate_name,sold_count_90d,median_price,p25_price,p75_price,price_stability,score,score_safe,pct_auction,pct_new,pct_used,pct_for_parts,pct_unknown,top5_titles
BMW E92 M3 220M wheels,240,559.5,311.77,649.0,0.447,237.265,224.296,1.2,38.8,61.2,0.0,0.0,"17"" BMW STYLE 24 E36 M3 EVO FORGED ALLOY WHEELS + MICHELIN PS4 TYRES VERY CLEAN ; GENUINE BMW G42 G20 M Performance 19"" 893M Alloy Wheels, Michelin Tyres. SUPERB! ; BMW 219m E90 E92 M3 Alloy wheels 18 OEM Genuine BBS 5x120 8.5j 9.5j michelin ; BMW Genuine m3 260m Alloys Wheels And Tyres Michelin pilot sport 5 ; BMW 17"" 3 Series E90 E92 E93 Genuine 194M Silver Wheels & New Kumho Tyres (For: BMW [E92] M3)"
BBS CH-R wheels BMW 5x120,237,595.0,363.7,699.0,0.489,226.798,207.905,0.8,53.2,46.8,0.0,0.0,Kerscher RS 9J+10Jx17 5x120 BMW E34 E36 E24 E12 E28 E31 BBS M3 oz ; Polished Rondell 0058 5x120 8.5J ET13 BMW E36/E39/E46 ; 4X19 Inches 5X120 HART Wheels HR84 Silver Wheels Fits For: BMW E39 E38 E60 E63 (For: BMW) ; BMW 219m E90 E92 M3 Alloy wheels 18 OEM Genuine BBS 5x120 8.5j 9.5j michelin ; BBS CH-R 20” Alloy Wheels 5x120 9x20 10.5x20 BMW Satin Silver
BMW F30 LCI LED headlights,235,300.0,158.35,450.0,0.72,115.381,115.381,0.0,29.4,70.6,0.0,0.0,BMW F30 F31 LCI Headlight Set Adaptive LED with ECU Headlight L+R ; 2011-2019 BMW F30 F31 Halogen To Led Upgrade Modified Headlights Plug & Play (For: BMW) ; BMW 3 SERIES F30 F31 F80 LCI SHADOW LED COMPLETE HEADLIGHTS LEFT AND RIGHT SIDE (For: BMW) ; BMW 3 Series F30 F31 2012-18 RHD LED Headlights Lamps Plug&Play 320 25 30 35 40 ; BMW 2 Series F22 F23 M2 F87 LCI Front Left Adaptive Icon Headlight & Modules
BMW M Performance carbon steering wheel F80,222,220.0,135.9,299.96,0.648,107.263,107.263,0.0,71.6,28.4,0.0,0.0,"CARBON FIBRE CUSTOM STEERING WHEEL fit BMW 4 SERIES G22 G82 G83 M4 M5 F90 G80 M3 ; GENUINE BMW M Performance Steering Wheel 32302413014. M2, M3, M4. Alcantara, 30E ; BMW Carbon LED Steering Wheel F10 F20 F30 F40 F80 M 1 2 3 4 5 ; BMW Carbon LED Steering Wheel F10 F20 F30 F40 F80 M 1 2 3 4 5 ; 2015-2018 BMW M3 M4 F80 F82 COMPETITION CARBON FIBER TRIM STEERING WHEEL"
BMW M Performance Alcantara steering wheel,236,202.82,135.68,270.27,0.744,92.241,92.241,0.0,61.9,38.1,0.0,0.0,"BMW Genuine LED Sports Display M Performance Steering wheel M2 F87 - 32302413015 ; BMW Genuine M Performance Steering Wheel Fits E82 E90 E90 LCI E92 32302212772 (For: BMW M) ; BMW M Performance Steering Wheel ; GENUINE BMW M Performance Steering Wheel 32302413014. M2, M3, M4. Alcantara, 30E ; BMW LED Alcantara Forged Carbon Steering Wheel 1 2 3 4 Series M2 M3 M4 M240i"
BMW G20 LCI laser headlights,229,250.0,75.0,405.0,1.242,64.085,64.085,0.4,37.6,62.4,0.0,0.0,BMW 5 SERIES G60 M5 i5 Black Edition Left Passenger Side LASER Headlight ; OEM BMW M3 M4 G22 G80 G82 G83 O/S DRIVER RIGHT SIDE SHADOW LASER LED HEADLIGHT ; 2024 BMW 320I LCI M SPORT G20 ENGINE + TURBO 2.0 PETROL B48B20A B48B20M1 (For: BMW) ; BMW 3 Series G20 G21 COMPLETE FRONT RIGHT DRIVERS SIDE LASER HEADLIGHT PRE LCI ; BMW G80 G82 M3 M4 I4-Series 2020-2025 Left Passenger Side LASER Shadow Headlight
BMW M Performance brake calipers F30,236,228.07,82.95,500.0,1.29,59.414,59.414,0.0,30.1,69.9,0.0,0.0,BMW F10 M5 - 2NH CCB - Brembo 6 piston Front Brake Calipers - F80 F82 F87 - Blue ; BMW 370 380mm M Performance Brembo Brake Calipers For: M2 M3 M4 F80 F82 F83 F87 ; New Rear BMW M2C F87 4-pot Red brake calipers 34218745797 & 34218745798 ; F8X M2/M3/M4 6 Piston Brake Kit - AMG W205 Calipers / KSystem.pro Brackets ; BMW 3 SERIES BRAKE CALIPERS & CARRIERS FULL SET F80 M3 COMPETITION 208422083 (For: BMW)
BMW F90 M5 706M wheels,239,249.95,99.5,599.0,1.424,56.873,56.873,0.8,46.0,54.0,0.0,0.0,"4 x OEM BMW M5 F90 2018+ 789M 20"" Alloy Wheels & Tyres (Excellent Condition) ; Genuine OEM BMW 7 5 Series GT 303M 20"" Alloy Wheels M Sport 303 F07 NO REPAIRS ! ; 4X19 Inches 5X120 HART Wheels HR84 Silver Wheels Fits For: BMW E39 E38 E60 E63 (For: BMW 1990 M5) ; BMW 219m E90 E92 M3 Alloy wheels 18 OEM Genuine BBS 5x120 8.5j 9.5j michelin ; BMW 20” 303M 5 SERIES F10 F11 TOURING ESTATE M SPORT ALLOY WHEELS & NEW TYRES"
BMW G80 M3 carbon bucket seats,235,179.99,89.54,404.94,1.467,46.766,46.766,0.0,72.3,27.7,0.0,0.0,"BMW 3 Series F80 M3 Individual White Interior Seats Door Cards (For: BMW M3) ; NEW BMW M2 G87 M3 G80 M4 G82 M PERFORMANCE CARBON FIBRE ENGINE COVER 11145B311A3 ; Infinity Design Carbon Fibre Gloss/Matte Intake Kit For BMW G80 G87 M2 M3 G82 M4 ; BMW M3, M4, F80, F82 Leather Heated Memory Seats ; BMW M3/M4 Dinan Performance Exhaust G80/G81 /G82 /G83 (2021-2026)"
BMW M Performance carbon mirror caps F80 F82,237,99.95,47.99,169.99,1.158,43.489,43.489,0.4,87.3,12.7,0.0,0.0,NEW BMW M2 F87 M3 F80 M4 F82 M PERFORMANCE CARBON FIBRE ENGINE COVER 11122413815 ; BMW M2/M3/M4 F80/F82/F87 CARBON FIBRE SPOILER - V3 ; NEW BMW M4 F82 M PERFORMANCE CARBON REAR BOOTLID SPOILER 51192350722 ; Genuine Bmw Carbon Mperformace Mirror Caps G80 G87 G82 G81 M2 M3 M4 ; Genuine Bmw Carbon Mperformace Mirror Caps G80 G87 G82 G81 M2 M3 M4
